9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
5818,"The requirements for natural Th17 cell development are distinct from those of conventional Th17 cells (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Immunology; (PUB) Institutional Journals;  The Journal of Experimental Medicine ---Rockefeller University Press Abramson Family Cancer Research Institute, Department of Medicine, and Department of Pathology and Laboratory Medicine, University of Pennsylvania, Philadelphia, PA 19104 http://retractionwatch.com/2014/09/03/first-author-blamed-for-retraction-in-prestigious-medical-journal-retraction/",+Falsification/Fabrication of Data+Manipulation of Images+Unreliable Results,Jiyeon S Kim Jennifer E Smith-Garvin Gary A Koretzky Martha S Jordan,09/26/2011 21948082 10.1084/jem.20110680,08/11/2014 25113971 10.1084/jem.2011068007292014r,Research Article Retraction,United States No
3210,"Inhibitor of Nrf2 (INrf2 or Keap1) protein degrades Bcl-xL via phosphoglycerate mutase 5 and controls cellular apoptosis (BLS) Biochemistry; (BLS) Biology - Cellular; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  The Journal of Biological Chemistry ---American Society for Biochemistry and Molecular Biology (ASBMB) Department of Pharmacology and Experimental Therapeutics, University of Maryland School of Medicine, Baltimore, Maryland, USA http://retractionwatch.com/2014/08/14/university-of-maryland-duo-notches-third-retraction/",+Notice - Limited or No Information,Suryakant K Niture Anil K Jaiswal,12/30/2011 22072718 10.1074/jbc.M111.275073,08/08/2014 25108015 10.1074/jbc.A111.275073,Clinical Study Retraction,United States No
3229,"The transcription factor sterile alpha motif (SAM) pointed domain-containing ETS transcription factor (SPDEF) is required for E-cadherin expression in prostate cancer cells (BLS) Biochemistry; (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (HSC) Medicine - Surgery; (PUB) Society/Association Journals;  The Journal of Biological Chemistry ---American Society for Biochemistry and Molecular Biology (ASBMB) Program in Urosciences, Division of Urology, Department of Surgery, School of Medicine,and University of Colorado Comprehensive Cancer Center, University of Colorado Anschutz Medical Campus, Aurora, ColoradoDenver Veterans Administration Medical Center, Denver, Colorado",+Notice - Limited or No Information,Mintu Pal Sweaty Koul Hari K Koul,04/26/2013 23449978 10.1074/jbc.M112.434225,08/08/2014 25108016 10.1074/jbc.A112.434225,Clinical Study Retraction,United States No
1904,"Intravenous leiomyoma with extension to the heart: a case report and review of the literature (HSC) Medicine - Cardiology; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Oncology; (HSC) Medicine - Surgery;  Case Reports in Obstetrics and Gynecology ---Hindawi Division of Gynecologic Oncology, Department of Gynecology and Obstetrics, Cerrahpasa Medical Faculty, Istanbul University, 34303 Istanbul, Turkey  Obstetrics and Gynecology Department, Acibadem Kadikoy Hospital, Istanbul, Turkey  Cardiovascular Surgery Department, Acibadem Kadikoy Hospital, Istanbul, Turkey",+Concerns/Issues About Authorship+Duplication of Article,Fuat Demirkiran Veysel Sal Umit Kaya Cem Alhan Nedim Tokgozoglu,09/29/2013 24191207 10.1155/2013/602407,08/03/2014 25114820 10.1155/2014/674953,Case Report Retraction,Turkey No
3811,"Activation of Aldose Reductase by Interaction with Tubulin and Involvement of this Mechanism in Diabetic Cataract Formation (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Diabetes; (PUB) Society/Association Journals;  Diabetes ---American Diabetes Association Departamento de Biología Molecular, Facultad de Ciencias Exactas, Físico-Químicas y Naturales, Universidad Nacional de Río Cuarto, Río Cuarto, 5800-Córdoba, Argentina Centro de Investigaciones en Química Biológica de Córdoba (CIQUIBIC), UNC-CONICET, Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, Ciudad Universitaria, 5000-Córdoba, Argentina Departments of Pharmacology Physiology and Pediatrics, Medical School, University of Zaragoza, Zaragoza, Spain",+Manipulation of Images+Unreliable Image,Juan F Rivelli Verónica S Santander Sofía O Peretti Noelia E Monesterolo Ayelen D Nigra Gabriela Previtali Marina R Amaiden Carlos A Arce Emiliano Primo Angela T Lisa Juan Pie César H Casale,04/10/2014 00000000 10.2337/db13-1265,08/01/2014 24722247 10.2337/db13-1265,Research Article Retraction,Argentina Spain No
5008,"Association of Cigarette Smoking and Metabolic Syndrome in a Puerto Rican Adult Population (BLS) Biology - General; (HSC) Medicine - Cardiovascular; (SOC) Sociology;  International Journal of Preventive Medicine  (IJPM) ---Wolters Kluwer - Medknow Division of Management, Policy, and Community Health, The University of Texas School of Public Health, Houston, Texas, USA Division of Cancer Control and Population Sciences, University of Puerto Rico Comprehensive Cancer Center, USA Department of Biostatistics and Epidemiology, University of Puerto Rico, Graduate School of Public Health, USA School of Medicine, University of Puerto Rico, San Juan, Puerto Rico, USA",+Notice - Limited or No Information,William A Calo Ana P Ortiz Erick Suárez Manuel Guzmán Cynthia M Pérez,07/01/2014 25104996,08/01/2014 25489458,Clinical Study Retraction,United States No
5006,"Can French Paradox Hypothesis Explain the Observed Different Trends of Mortality from Ischemic Heart Disease and Stroke in Western Europe? (BLS) Biology - General; (HSC) Medicine - Cardiology;  International Journal of Preventive Medicine  (IJPM) ---Wolters Kluwer - Medknow Department of Public Health, Social Health Determinants Research Center, School of Health, Shahrekord University of Medical Sciences, Shahrekrod, Iran Department of Pediatrics, Child Growth and Development Research Center, School of Medicine, Isfahan University of Medical Sciences, Isfahan, Iran Department of Epidemiology and Biostatistics, Social Health Determinants Research Center, School of Health, Shahrekord University of Medical Sciences, Shahrekrod, Iran",+Notice - Limited or No Information,Mahin Ghafari Roya Kelishadi Masoud Lotfizadeh Masoud Amiri,12/01/2013 24498488,08/01/2014 25489458,Clinical Study Retraction,Iran No
1545,"Childhood Maltreatment and Methylation of the Glucocorticoid Receptor Gene NR3C1 in Bipolar Disorder (BLS) Biology - Molecular; (HSC) Medicine - Psychiatry; (PUB) Society/Association Journals;  British Journal of Psychiatry ---Royal College of Psychiatrists MD, Department of Mental Health and Psychiatry, Service of Psychiatric Specialties, University Hospitals of Geneva, and Department of Psychiatry, University of Geneva http://retractionwatch.com/2014/09/04/retraction-appears-for-psychiatrist-sought-for-arrest-in-alleged-fraud-scheme/",+Falsification/Fabrication of Data+Investigation by Company/Institution,Nader Perroud Alexandre Dayer Camille Piguet Audrey Nallet Sophie Favre Alain Malafosse Jean-Michel Aubry,06/06/2013 23743517 10.1192/bjp.bp.112.120055,08/01/2014 25252332 10.1192/bjp.205.2.164a,Research Article Retraction,Switzerland Yes
3795,"Pulmonary Mycobacterium celatum in an Immunocompetent Patient Successfully Treated with Antimicrobial Chemotherapy (BLS) Biology - Cancer; (HSC) Medicine - Drug Design; (HSC) Medicine - Oncology;  Chest ---Elsevier Allegheny General Hospital, Pittsburgh, PA",+Duplication of Article+Investigation by Company/Institution+Investigation by Journal/Publisher,Parth Rali Hardik Soni Win Naing,03/01/2014 24638364 10.1378/chest.1822040,08/01/2014 25091758 10.1378/chest.14-1229,Case Report Retraction,United States Yes
12791,"Synthesis, anti-bacterial, anti-fungal and cytotoxic properties of novel pyrimidine derivatives from chromen-2-one moiety (HSC) Medicine - General; (PHY) Chemistry;  Medicinal Chemistry Research ---Springer P.G. Department of Studies in Chemistry, Karnatak University, Dharwad",+Duplication of Text,Rangappa S Keri Kallappa M Hosamani Ramya V Shingalapur,09/14/2010  10.1007/s00044-010-9421-3,08/01/2014  10.1007/s00044-010-9421-3,Research Article Retraction,India No
2005,"CD4+ T Cell Autoimmunity to Hypocretin/orexin and Cross-reactivity to a 2009 H1N1 Influenza A Epitope in Narcolepsy (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Immunology; (PUB) Society/Association Journals;  Science Translational Medicine ---American Association for the Advancement of Science (AAAS) Center for Sleep Sciences and Medicine, Stanford School of Medicine, Palo Alto, CA 94304, USA Molecular Sleep Lab, Department of Diagnostics, and Danish Center for Sleep Medicine, Department of Clinical Neurophysiology, Glostrup Hospital, 2600 Glostrup, Denmark Department of Pediatrics, Stanford School of Medicine, Palo Alto, CA 94305, USA IRCCS Institute of Neurological Sciences and Department of Biomedical and NeuroMotor Sciences, University of Bologna, Bologna 40123, Italy Mater Private Sleep Laboratory, Dublin 7, Ireland Program in Immunology, Stanford School of Medicine, Palo Alto, CA 94305, USA http://retractionwatch.com/2014/09/25/downstream-effects-comment-on-retracted-narcolepsy-paper-retracted/ http://retractionwatch.com/2014/07/30/authors-retract-paper-confirming-that-narcolepsy-is-an-autoimmune-disease/",+Results Not Reproducible+Unreliable Results,Alberto K De la Herrán-Arita Birgitte Rahbek Kornum Josh Mahlios Wei Jiang Ling Lin Tieying Hou Claudia Macaubas Mali Einen Giuseppe Plazzi Catherine Crowe Evan W Newell Mark M Davis Elizabeth D Mellins Emmanuel Mignot,12/18/2013 24353159 10.1126/scitranslmed.3007762,07/30/2014 25080479 10.1126/scitranslmed.3009995,Research Article Retraction,Denmark Ireland Italy United States No
2290,"Association of STAT4 Gene Polymorphism with Systemic Lupus Erythematosus / Lupus Nephritis Risk (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Cardiovascular;  Nephrology ---Wiley Department of Nephrology, the Sixth Affiliated Hospital, Sun Yat-Sen University, Guangzhou 510655, China",+Duplication of Article,T B Zhou Z P Jiang Y H Qin J F Zhou,04/16/2014 24738721 10.1111/nep.12264,07/24/2014 25207340 10.1111/nep.12305,Research Article Retraction,China No
3613,"Peripheral cytokines as a chemical mediator for postconcussion like sickness behaviour in trauma and perioperative patients: literature review. (BLS) Neuroscience; (HSC) Medicine - Neurology;  Neurology Research International ---Hindawi Neuro Science, Division of Neurology, Department of Medicine, Mc Master University, Hamilton, ON, Canada. CCRA, Mc Master University, Hamilton, ON, Canada. Gomal University, D I Khan, Pakistan Windsor University, St Kits, Anguilla",+Concerns/Issues About Authorship+Lack of Approval from Author,Yasir Rehman Nadia Rehman Riaz Rehman,04/28/2014 24876960 10.1155/2014/671781,07/24/2014 25120929 10.1155/2014/673464,Research Article Retraction,Anguilla Canada No
4570,"Electrical transmission between mammalian neurons is supported by a small fraction of gap junction channels (HSC) Medicine - Neurology;  The Journal of Membrane Biology ---Springer Facultad de Medicina, Departamento de Fisiología, Laboratorio de Neurofisiología Celular, Universidad de la República, Montevideo, UruguayDominick P. Purpura Department of Neuroscience, Albert Einstein College of Medicine, Bronx, USADepartment of Physiology, University of Manitoba, Winnipeg, Canada",+Duplication of Article,Sebastian Curti Gregory Hoge James I Nagy Alberto E Pereda,06/24/2012 22729690 10.1007/s00232-012-9449-z,07/20/2014 25038924 10.1007/s00232-014-9706-4,Review Article Retraction,Canada United States Uruguay No
8441,"HDAC11 plays an essential role in regulating OX40 ligand expression in Hodgkin lymphoma (BLS) Biochemistry; (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Drug Design; (HSC) Medicine - Immunology; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  Blood ---American Society of Hematology Department of Lymphoma and Myeloma, The University of Texas M D Anderson Cancer Center, Houston, TX Department of Immunology, The University of Texas M D Anderson Cancer Center, Houston, TX",+Duplication of Image+Error in Image,Daniela Buglio Noor M Khaskhely Kui Shin Voo Hector Martinez-Valdez Yong-Jun Liu Anas Younes,03/10/2011 21239696 10.1182/blood-2010-08-303701,07/17/2014 21239696 10.1182/blood-2014-06-580324,Research Article Correction,United States No
8125,"Biotechnological therapies for the treatment of back pain. Alternatives to corticosteroids (HSC) Medicine - General; (HSC) Medicine - Rehabilitation/Therapy;  Der Orthopäde ---Springer Grönemeyer Institut für MikrotherapieLehrstuhl für Radiologie und Mikrotherapie, Universität Witten/Herdecke, Bochum, Deutschland Radiologisch-Nuklearmedizinische Gemeinschaftspraxis, Göppingen, Deutschland Steinbeis-Transfer-Institut Mikrotherapie, Minimalinvasive Therapie und DiagnostikSteinbeis-Hochschule Berlin, Berlin, Deutschland",+Error by Journal/Publisher,C Moser H J Thiel D Grönemeyer,11/09/2013 24201832 10.1007/s00132-013-2197-7,07/16/2014 25100289 10.1007/s00132-014-2324-0,Review Article Retraction,Germany No
2065,"GREB1 functions as a growth promoter and is modulated by IL6/STAT3 in breast cancer (BLS) Biochemistry; (BLS) Biology - Cancer; (HSC) Medicine - Drug Design; (HSC) Medicine - Oncology;  PLoS One ---PLoS Department of Microbiology, Biochemistry and Immunology, Morehouse School of Medicine, Atlanta, Georgia, USA Department of Pathology, Department of Medicine, University of Miami School of Medicine, Miami, Florida, USA Department of Chemistry, Xavier University of Louisiana, New Orleans, Louisiana, USA http://retractionwatch.com/2014/07/17/plos-one-retracts-breast-cancer-genetics-paper-after-claim-of-misappropriated-data/",+Copyright Claims+Error in Image+Euphemisms for Plagiarism+Investigation by Company/Institution+Investigation by Third Party,Mingli Liu Guangdi Wang Carmen R Gomez-Fernandez Shanchun Guo,10/03/2012 23056300 10.1371/journal.pone.0046410,07/15/2014 25025230 10.1371/journal.pone.0102287,Research Article Retraction,United States No
2842,"P3.336 Seroprevalence of Human Immunodeficiency Virus (HIV)Infection Amongst Tuberculosis(TB) Patients Attending TB/DOTS Centre in Nnewi South East Nigeria (HSC) Medicine - Immunology; (HSC) Medicine - Infectious Disease; (HSC) Medicine - Pulmonology; (HSC) Public Health and Safety; (PUB) Society/Association Journals;  Sexually Transmitted Infections ---BMJ Publishing Nnamdi Azikiwe University Teaching Hospital (NAUTH), Nnewi",+Notice - Limited or No Information,C N Ogbuagu,07/01/2013 23862196 10.1136/sextrans-2013-051184.0789,07/15/2014 25028714 10.1136/sextrans-2013-051184.0789ret,Conference Abstract/Paper Retraction,Nigeria No
442,"Adult T-cell leukemia/lymphoma development in HTLV-1–infected humanized SCID mice (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Oncology;  Blood ---American Society of Hematology Department Microbiology and Immunology and Center for Humanized SCID Mouse Models, SUNY Upstate Medical University, Syracuse, NYCenter for Retrovirus Research, Department of Veterinary Biosciences, and Comprehensive Cancer Center,Arthur G. James Cancer Hospital and Solove Research Institute, The Ohio State University, ColumbusDivision of Hematology/Oncology, Sylvester Comprehensive Cancer Center, University of Miami School of Medicine, FLand Department of Medicine, Medical College of Wisconsin, Milwaukee http://retractionwatch.com/2014/06/18/journal-retracts-stem-cell-study-despite-objections-of-most-authors/",+Falsification/Fabrication of Data+Falsification/Fabrication of Image+Investigation by Company/Institution+Misconduct - Official Investigation/Finding+Misconduct by Author+Objections by Author(s),Prabal Banerjee Adam Tripp Michael D Lairmore Lindsey Crawford Michelle Sieburg Juan Carlos Ramos William Harrington Jr Mark A. Beilke Gerold Feuer,04/01/2010 20124219 10.1182/blood-2009-10-246959,07/10/2014 24916510 10.1182/blood-2014-05-577882,Research Article Retraction,United States No
31,"Epidural anaesthesia and analgesia for liver resection (HSC) Medicine - Anesthesia/Anaesthesia; (HSC) Medicine - Surgery;  Anaesthesia ---Wiley-Blackwell Royal Surrey County Hospital NHS Foundation Trust, Guildford, UK",+Error by Journal/Publisher,Leigh Kelliher Chris Jones Matthew Dickinson Michael Scott Nial Quiney,02/01/2014 24443861 10.1111/anae.12579.,07/10/2014 25165794 10.1111/anae.12793,Letter Retraction,United Kingdom No
2691,"Transplanted iNSCs migrate through SDF-1/CXCR4 signaling to promote neural recovery in a rat model of spinal cord injury (BLS) Neuroscience; (HSC) Medicine - Neurology;  Neuroreport ---Lippincott Williams and Wilkins Clinical College of General Hospital of Beijing Military Region, Anhui Medical University, Hefe. BeijingiAffiliated Bayi Brain Hospital, General Hospital of Beijing Military Region, BeijingNeurosurgery Institute of Beijing Military Region, BeijingThe Fourth Hospital of Hebei Medical University, Shijiazhuang, People’s Republic of China",+Error by Journal/Publisher+Lack of Approval from Author,Jianhua Ma Xin LI Bo Yi Hui Yao Hao Zhao Yessen Zhang Xiaochong Zhang Ning Liu Zhongqiu Tian Yiwu Dai,04/16/2014 24374507 10.1097/WNR.0000000000000109,07/09/2014 24918462 10.1097/01.wnr.0000451577.48889.6b,Clinical Study Retraction,China No
1296,"Folic Acid Supplementation, Dietary Folate Intake During Pregnancy and Risk for Spontaneous Preterm Delivery: A Prospective Observational Cohort Study (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Endocrinology; (HSC) Medicine - Obstetrics/Gynecology;  BMC Pregnancy and Childbirth ---BioMed Central (BMC) Department of Obstetrics and Gynaecology, Sahlgrenska Academy, Sahlgrenska University Hospital/Östra, SE-416 85 Göteborg, SwedenDepartment of Genes and Environment, Division of Epidemiology, Norwegian Institute of Public Health, P.O. Box 4404, Nydalen NO-0403 Oslo, NorwayDepartment of Obstetrics, Oslo University Hospital, P.O. Box 4950, Nydalen NO-0424 Oslo, NorwayDepartment of Exposure and Risk Assessment, Division of Environmental Medicine, Norwegian Institute of Public Health, P.O. Box 4404, Nydalen NO-0403 Oslo, NorwayDepartment of Public Health and Primary Health Care, University of Bergen, NO-5018 Bergen, NorwayDivision of Epidemiology, Norwegian Institute of Public Health, P.O. Box 4404NO-0403 Oslo, NorwayNorwegian Institute of Public Health and University of Bergen, Kalfarveien 31, NO-5018 Bergen, Norway Mathematical Sciences, Chalmers University of Technology, SE-412 96 Göteborg, Sweden http://retractionwatch.com/2014/07/23/patient-mix-up-sinks-prenatal-supplement-paper/",+Error in Data+Error in Results and/or Conclusions+Unreliable Data,Verena Sengpiel Jonas Bacelis Ronny Myhre Solveig Myking Aase Devold Pay Margaretha Haugen Anne-Lise Brantsæter Helle Margrete Meltzer Roy M Nilsen Per Magnus Stein Emil Vollset Staffan Nilsson Bo Jacobsson,08/12/2013 23937678 10.1186/1471-2393-13-160,07/03/2014 24993670 10.1186/1471-2393-14-202,Research Article Retraction,Norway Sweden No
2264,"Regional cerebral oxygen saturation on hospital arrival is a potential novel predictor of neurological outcomes at hospital discharge in patients with out-of-hospital cardiac arrest (HSC) Medicine - Neurology; (HSC) Radiology/Imaging; (PUB) Society/Association Journals;  Resuscitation ---Elsevier Senri Critical Care Medical Center, Osaka Saiseikai Senri Hospital, 1-1-6 Tsukumodai, Suita, Osaka 565-0862, Japan  Department of Advanced Cardiovascular Therapeutics, Osaka University Graduate School of Medicine, 2-2 Yamadaoka, Suita, Osaka 565-0871, Japan  Department of Cardiology, Surugadai Nihon University Hospital, 1-8-13 Kanda-Surugadai, Chiyoda-ku, Tokyo 101-8309, Japan  Emergency Life Saving Technique Academy, 3-8-1 Oura, Yahata-nishi-ku, Kitakyushu, Fukuoka 807-0874, Japan  Department of Primary Care and Emergency Medicine, Kyoto University Graduate School of Medicine, 54 Kawara-machi, Seigoin, Sakyo-ku, Kyoto 606-8507, Japan",+Error in Methods,Noritoshi Ito Shinsuke Nanto Ken Nagao Tetsuo Hatanaka Kei Nishiyama Tatsuro Kai,10/31/2011 22051579 10.1016/j.resuscitation.2011.10.016,07/03/2014 25126660 10.1016/j.resuscitation.2014.06.004,Clinical Study Retraction,Japan No
3568,"Manuka honey vs. hydrogel--a prospective, open label, multicentre, randomised controlled trial to compare desloughing efficacy and healing outcomes in venous ulcers (BLS) Anatomy/Physiology; (HSC) Medicine - Alternative; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Nursing; (HSC) Medicine - Pharmacology;  Journal of Clinical Nursing ---Wiley Faculty of Nursing and Midwifery, Royal College of Surgeons in Ireland, Dublin http://retractionwatch.com/2015/10/21/authors-retract-second-study-about-medical-uses-of-honey/",+Error in Analyses+Error in Results and/or Conclusions+Investigation by Third Party,Georgina T Gethin Seamus Cowman,08/25/2008 18752540 10.1111/j.1365-2702.2008.02558.x,07/02/2014 26311521 10.1111/jocn.12652,Clinical Study Retraction,Ireland No
16990,"Relationship Between Genotypes of Hepatitis C Virus and the Progression to Cirrhosis in Chronic Hepatitis C Patients (BLS) Genetics; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Infectious Disease;  Acta Medica Marisiensis ---University Press Department of Hepato-gastroenterology, Faculty of Medicine, University Louis Pasteur, Strasbourg, France Department of Internal Medicine, Medical Clinic 1, Faculty of Medicine, University of Medicine and Pharmacy, Tîrgu Mures, Romania Department of Anesthesiology, Faculty of Medicine, University of Medicine and Pharmacy, Tîrgu Mures, Romania Department of Gastroenterology, Medical Clinic 1, Faculty of Medicine, University of Medicine and Pharmacy, Tîrgu Mures, Romania",+Notice - Unable to Access via current resources,Camelia Coltescu M Doffoel F Habersetzer G Oltean Ruxandra Copotoiu D Georgescu Simona Bataga,03/01/2014 00000000 unavailable,07/02/2014 00000000 unavailable,Research Article Retraction,France Romania No
1769,"Accuracy of Noninvasive Haemoglobin Measurement by Pulse Oximetry Depends on the Type of Infusion Fluid (BLS) Biology - General; (HSC) Medicine - Anesthesia/Anaesthesia;  European Journal of Anaesthesiology ---Wolters Kluwer Section for Anaesthesia, Linköping University, Linköping, Sweden",+Duplication of Article+Error by Journal/Publisher,Christian Bergek Joachim H Zdolsek Robert G Hahn,02/01/2013 23303244 10.1097/EJA.0b013e3283592733,07/01/2014 24887135 10.1097/EJA.0000000000000096,Research Article Retraction,Sweden No
6219,"Applications for medical recovery using wireless control of a bluetooth ball with a hybrid G-sensor and human-computer interface technology (B/T) Computer Science; (HSC) Medicine - Rehabilitation/Therapy;  Journal of Vibration and Control ---SAGE Publications Transworld University, Yunlin, Taiwan  National Pingtung University of Education, Pingtung, Taiwan  Global Earth Observation and Data Analysis Center (GEODAC), National Cheng Kung University, Tainan, Taiwan  National Kaohsiung First University of Science and Technology, Kaohsiung, Taiwan http://retractionwatch.com/2014/07/08/sage-publications-busts-peer-review-and-citation-ring-60-papers-retracted/ http://retractionwatch.com/the-retraction-watch-leaderboard/",+Concerns/Issues about Referencing/Attributions+Fake Peer Review+Investigation by Company/Institution+Investigation by Journal/Publisher+Misconduct by Author,Chin-Jui Chang Chen-Yuan Peter Chen Chi-Wei Huang,04/24/2012  10.1177/1077546312442948,07/01/2014  10.1177/1077546314541924,Research Article Retraction,Taiwan No
5009,"Can Barker's Hypothesis Explain the Observed Different Trends of Mortality from Atherosclerotic Cardiovascular Disease in Western Europe? (BLS) Biology - General; (HSC) Medicine - Cardiovascular;  International Journal of Preventive Medicine  (IJPM) ---Wolters Kluwer - Medknow Department of Public Health, Social Health Determinants Research Center, School of Health, Shahrekord University of Medical Sciences, Shahrekrod, Iran Department of Pediatrics, Child Growth and Development Research Center, School of Medicine, Isfahan University of Medical Sciences, Isfahan, Iran Department of Epidemiology and Biostatistics, Social Health Determinants Research Center, Shahrekord University of Medical Sciences, Shahrekrod, Iran",+Notice - Limited or No Information,Mahin Ghafari Roya Kelishadi Masoud Amiri,11/01/2013 24404354,07/01/2014 25105008,Clinical Study Retraction,Iraq No
17662,"CD271 identifies functional human hepatic stellate cells, which localize in peri-sinusoidal and portal areas in liver after partial hepatectomy (BLS) Anatomy/Physiology; (BLS) Biology - Cellular; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Surgery;  Cytotherapy ---Elsevier Sahlgrenska University Hospital, Laboratory for Transplantation and Regenerative Medicine, University of Gothenburg, Gothenburg, Sweden Gynecology and Obstetrics at Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden http://retractionwatch.com/2018/03/19/probe-finds-misconduct-in-eight-papers-by-researcher-in-sweden/ http://retractionwatch.com/2018/06/28/university-recommends-researcher-be-fired-after-misconduct-finding/",+Notice - Limited or No Information+Temporary Removal,Pradeep B Patil Meghnad Joshi Vijay Kumar Kuna Bo Xu Liza Johannesson Michael Lausson Suchitra Sumitran-Holgersson,05/13/2014 24831840 10.1016/j.jcyt.2014.03.001,07/01/2014 24831840 10.1016/j.jcyt.2014.03.001,Research Article Retraction,Sweden No
5060,"Contribution of herbal principles towards cytoprotective, antioxidant and anti-Rhizopus activities (BLS) Biochemistry; (BLS) Biology - Cellular; (BLS) Plant Biology/Botany; (HSC) Medicine - Alternative; (HSC) Medicine - Drug Design; (HSC) Medicine - Pharmacology; (PUB) Society/Association Journals;  South African Journal of Botany ---Elsevier Department of Studies in Biotechnology and Microbiology, Mahajana Life Science Research Centre, Pooja Bhagavat Memorial Mahajana Post Graduate Centre, Affiliated to University of Mysore, Mysore, Karnataka http://retractionwatch.com/2014/07/04/botany-journal-retracts-paper-for-at-least-one-error/",+Error in Image+Notice - Limited or No Information,S Meghashri J B Chauhan F Zameer,05/19/2012  10.1016/j.sajb.2012.04.003,07/01/2014  10.1016/j.sajb.2014.05.007,Research Article Retraction,India No
4508,"Interactions between intestinal microbiota and innate immune system in pediatric inflammatory bowel disease (BLS) Genetics; (BLS) Microbiology; (HSC) Medicine - Gastroenterology; (HSC) Medicine - Immunology; (HSC) Medicine - Pediatrics;  Journal of Clinical Gastroenterology ---Wolters Kluwer - Lippincott Williams & Wilkins Department of Pediatrics, Pediatric Gastroenterology and Liver Unit, Sapienza University of Rome, Rome  Section of Toxicology and Biomedical Sciences, Italian National Agency for New Technologies, Energy and Sustainable Economic Development (ENEA), Italy",+Investigation by Journal/Publisher+Objections by Third Party+Plagiarism of Text,Salvatore Cucchiara Laura Stronati Marina Aloi,10/01/2012 22955361 10.1097/MCG.0b013e31826a857f,07/01/2014 24922408 10.1097/MCG.0000000000000182,Review Article Retraction,Italy No
4067,"Liver failure, hepatic siderosis, and membrane attack complexes: neonatal hemochromatosis and/or galactosemia? (BLS) Anatomy/Physiology; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Obstetrics/Gynecology; (HSC) Medicine - Pathology; (HSC) Medicine - Pediatrics; (HSC) Medicine - Urology/Nephrology;  Journal of Pediatric Gastroenterology and Nutrition ---Wolters Kluwer - Lippincott Williams & Wilkins Service de Gastroenterologie et Hepatologie PediatriqueService d'Anatomopathologie, Cliniques Universitaires Saint Luc, Universite Catholique de Louvain, Bruxelles http://retractionwatch.com/2014/08/08/paper-on-liver-failure-in-babies-withdrawn-for-lab-mix-up/",+Doing the Right Thing+Error in Data+Error in Results and/or Conclusions+Notice - Limited or No Information,Sara Nóbrega Isabelle Scheers Francoise Smets Massimiliano Paganelli Christine Sempoux Xavier Stephenne Etienne Sokal,06/17/2013 23783020 10.1097/MPG.0b013e31829f12d0,07/01/2014 25222808 10.1097/MPG.0000000000000430,Case Report Clinical Study Retraction,Belgium No
