citfunc,sectitle,refentry,art,sectype,sectype2,refid,sec,ctx,pointerlist,nbcontexts,nbsections,itrp,anchorsent,partext,potential_cf,annotator,dataset
"critiques","modes of discovery of scientific misconduct  ","","10.1080/08989620903328576","","","","","","","","","","responsible editors have pointed out instances of misconduct that have catalyzed investigations later on. richard smith, during his tenure as the editor of the british medical journal (bmj), played an active role in bringing to the attention of the scientific community the research misconduct of dr. ranjit chandra of canada (smith, 2006). 
research misconduct can be exposed by investigative journalists working for newspapers. brian deer, a journalist with the “sunday times” (u.k.) exposed the fallacious research of andrew wakefield and co-authors concerning the mumps-measles-rubella (mmr) vaccine and autism (wakefield et al., 1998; deer, 2004). the article was eventually retracted in 2004 (murch et al., 2004).","","","critiques","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","","","10.1111/j.1365-2753.2009.01350.x","introduction","","","","","","","","","however, when the chance of adverse outcomes is very small, or the risks are unsubstantiated, there is legitimate concern that undue worry about side effects may deter people from beneficial medical intervention. for example, the claim that childhood vaccination against measles, mumps and rubella is linked to increased risks of developing autism 1, led to a reduction in the uptake of the vaccination in the uk 2, despite the highly contentious nature of the claim 3-5. moreover, the decision not to vaccinate was frequently made without any direct experience of the claimed side effects 6.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"discusses","alternative theories  ","","10.1007/bf03379555","","","","","","","","","","one of the more well known alternative theories is the possibility of autism caused by the mmr vaccine. empirical evidence originates from a study illustrating frequent co-occurrence of gastrointestinal disease and autism in children (wakefield et al., 1998). parental reports also associated the onset of autistic behavior with mmr vaccination in 8 children.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","","","10.1017/s1463423609990284","introduction","","","","","","","","","this almost reaches the 95% target level to ensure herd immunity against infectious diseases. concerns about the safety of measles, mumps, and rubella (mmr) vaccine were raised in 1998, following the publication of a paper that was widely interpreted as suggesting a link with autism and bowel disease (wakefield et al., 1998). however, the findings have not been subsequently supported (bedford et al., 2005), and the paper has been discredited.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"critiques","false perceptions of safety ","","10.3109/9781420060744-15","","","","","","","","","","concerns about vaccine safety can reduce the acceptance of immunizations with consequent outbreaks of vaccine-preventable diseases even when the scientific data do not support a causal relationship. alleged links between measles, mumps, and rubella (mmr) vaccine and inflammatory bowel disease and autism were made on the basis of very weak anecdotal observations (65,66). careful reviews of these hypotheses found them to be without merit (67,68).","","","critiques","coci_wakefield_ret_intext_ref.csv"
"obtains support from","discussion","","10.4137/iii.s3662","","","","","","","","","","five subjects (3.3%) were diagnosed with cd, which was significantly higher (p = 0.014) than cd prevalence for the general pediatric population.
there have been several reports of immune dysfunction in autistic children with gi disease.25–32 immune dysfunction has been reported in autistic children, including autoimmunity to central nervous system (cns) proteins.33–35","","","obtains support from","coci_wakefield_ret_intext_ref.csv"
"cites for information","scientific agency and parent-experts ","","10.1108/s1057-6290(2010)0000011015","","","","","","","","","","in the united states in particular, the focus was on thimerosal in vaccines as the major culprit for advocacy groups and parents in suggesting a causal link between exposure to vaccines and the outcome of autism in their children, when symptoms of autism generally are identified and vaccinations administered at approximately the same time period (baker, 2008; doja & roberts, 2006; geier, king, sykes, & geier, 2008; katz, 2006; normand & dallery, 2007; offit & moser, 2009; shevell & fombonne, 2006). in confluence with the implementation of more extensive vaccination regimens of young children beginning in the early 1990s (bernard et al., 2001; fombonne, 2008; stehr-green et al., 2003), medical evidence positing a link between vaccines and asd (e.g., wakefield et al., 1998), and a similar time frame for vaccine administration and onset of asd symptoms, and increased prevalence trends of asd diagnoses puts forth, on the surface, a dramatic case that vaccines cause autism (baker, 2008). the rhetorical use of co-occurring statistical trends and co-occurring phenomena to suggest causality is an effective way of making a claim to a wider lay public (best, 2004; normand & dallery, 2007).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","scientific agency and parent-experts ","","10.1108/s1057-6290(2010)0000011015","","","","","","","","","","these social conditions set the platform for the debate about the increased prevalence of childhood asd diagnoses by consequently framing the issue in such a way as to direct attention to the more medically oriented possible causes (baker, 2008; furedi, 2006), subsequently legitimizing these statements, rather than looking to social influences such as changing measurements and ideas about childhood asd (though these are often used as counter-arguments to the vaccine-induced hypotheses). coinciding with the widespread media attention at the time to the wakefield et al. (1998) study, considered a key catalyst of the vaccine-critical asd movement (baker, 2008; begley, 2009; kirby, 2005), focus was placed on environmental toxins and medical interventions in childhood that can affect neurological development and functioning (matson & minshawi, 2006). as such, the issue was framed from a medicalized perspective, one of disorder (and not simply difference), which also impacted how the issue was rhetorically presented by eager claimsmakers and subsequently dealt with (baker, 2008; best, 1987, 2008b; hilgartner & bosk, 1988; molloy & vasil, 2002; poulson, 2009).","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"discusses","scientific agency and parent-experts ","","10.1108/s1057-6290(2010)0000011015","","","","","","","","","","if a treatment or strategy passes muster, it is formally presented at a think tank and then at a general conference. (edelson, 2007) 
investigation into the epidemiological breadth of childhood asd, such as the california-based study described earlier, was prompted largely by the reaction of parents (whose children had asd) to the wakefield et al. (1998) study suggesting a link between vaccines and autism (baker, 2008; shevell & fombonne, 2006) and the recommendation of the united states public health service and the american academy of pediatrics in july 1999 to remove thimerosal from infant vaccines as a precautionary measure, even though there was no compelling evidence of its harm (destefano, 2009). additionally, though the wakefield et al. (1998) study was soon after critically challenged and has involved claims of fraud and ethical violations (begley, 2009; offit, 2008), the influence of the popular media presenting the alarming prevalence trend statistics and scientific results suggesting the possibility of serious harm being induced to children via vaccines prompted more political, educational, legal, and social movements in a variety of ways involving parents.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","scientific agency and parent-experts ","","10.1108/s1057-6290(2010)0000011015","","","","","","","","","","investigation into the epidemiological breadth of childhood asd, such as the california-based study described earlier, was prompted largely by the reaction of parents (whose children had asd) to the wakefield et al. (1998) study suggesting a link between vaccines and autism (baker, 2008; shevell & fombonne, 2006) and the recommendation of the united states public health service and the american academy of pediatrics in july 1999 to remove thimerosal from infant vaccines as a precautionary measure, even though there was no compelling evidence of its harm (destefano, 2009). additionally, though the wakefield et al. (1998) study was soon after critically challenged and has involved claims of fraud and ethical violations (begley, 2009; offit, 2008), the influence of the popular media presenting the alarming prevalence trend statistics and scientific results suggesting the possibility of serious harm being induced to children via vaccines prompted more political, educational, legal, and social movements in a variety of ways involving parents. 
notably, parents of children with asd utilized this hypothesis to themselves begin generating academic discussions and literature further reinforcing the plausibility of a vaccine–autism causal link, and to offer their own anecdotal experiences as evidence of this link14 (baker, 2008; grinker, 2007; kirby, 2005). as baker (2008) noted:","","","discusses","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1177/0017896910363146","related work","","","","","","","","","in the uk, controversy over the safety of the combined measles, mumps and rubella (mmr) vaccine1 dented parents’ confidence in the vaccine, reflected in a sharp fall in uptake.","","","credits","coci_wakefield_ret_intext_ref.csv"
"describes","","","10.1038/nm0310-248b","","","","","","","","","","28 february gastroenterologist andrew wakefield reports in the lancet that his team has found a “genuinely new syndrome”—a link between the measles, mumps and rubella (mmr) vaccine and an increased risk of autism (lancet 351, 637–641, 1998).","","","describes","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1177/1053815110366656","introduction","","","","","","","","","a day barely goes by without some mention of autism in the media. for example, as i write this commentary, on february 2, 2010, the editors of the lancet published a retraction of the article by wakefield et al. (1998) that indicated a link between pervasive developmental disorder in children and childhood vaccinations. where does this retraction leave the families who made a conscious choice not to vaccinate their children because of the publication?","","","discusses","coci_wakefield_ret_intext_ref.csv"
"describes","overview of the avc","","10.1177/0963662509359490","","","","","","","","","","on 28 february 1998, an article appeared in the lancet medical journal that described a potential link between a novel gastrointestinal syndrome and a type of childhood developmental regression consistent with autism. in the article, wakefield et al. (1998) described the case histories of 12 children with regressive developmental disorders; 10 of the children were autistic. upon examination, all 12 had a novel form of enterocolitis and a strain of the measles virus that matched the version used in the measles, mumps, and rubella (mmr) vaccine.","","","describes","coci_wakefield_ret_intext_ref.csv"
"discusses","overview of the avc","","10.1177/0963662509359490","","","","","","","","","","the second issue within the avc emerged around the same time of the lancet article: whether a vaccine preservative (thimerosal) was also causing autism in young children. at the time of the wakefield et al. (1998) study, thimerosal had been in use as a vaccine preservative for nearly seven decades. it is 50% ethylmercury by weight (baker, 2008), making it chemically similar to methylmercury – a known neurotoxin in high doses (food and drug administration [fda], 2009). however, there are several key differences.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"critiques","","","10.1002/9780470710470.refs","related work","","","","","","","","","many high profile examples of statistics gone wrong have occurred in the field of medicine where the consequences of poorly conducted statistical analysis has led to a serious and adverse outcome. one of the best documented of such incidences is the reported link between the measles, mumps and rubella vaccine (mmr) and autism (wakefield et al., 1998), which was based on a very small study sample. although the evidence seemed compelling at the time, a later review highlighted that the study design was fundamentally flawed and the majority of the original authors subsequently retracted their findings (murch et al., 2004).","","","critiques","coci_wakefield_ret_intext_ref.csv"
"discusses","a case study ","","10.12968/jpar.2010.2.3.cpd1","","","","","","","","","","the alleged link between the measles mumps rubella (mmr) immunization and autism is probably one of the better-known examples following the now infamous article in the lancet by dr andrew wakefield and his colleagues. the original article in the lancet (wakefield et al, 1998) included eleven other authors (ten have subsequently withdrawn their support of the article) that was jointly launched at a press conference in london, and led to many years of clinical debate and parental confusion as to the efficacy and side-effects of the mmr vaccine. 
the article reported on a study of 12 children who had been diagnosed with a spectrum of autism disorders linked to the mmr vaccine.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1586/erv.10.20","introduction","","","","","","","","","today, the perceived risk of adverse events in the general public is the most important threat for successful vaccination programs in europe. the suggested association between autism and the measles, mumps and rubella (mmr) vaccination [2,3] led to a significant decrease in vaccination coverage for the mmr vaccination in the uk and, subsequently, resulted in significantly increased incidence of measles and subsequent deaths [4–6]. a series of publications refuting this association has since then been published [7,8] but the public perception of the risk associated with mmr vaccination has proved to be hard to extinguish.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","viral vaccines","","10.1179/016164110x12645013515214","introduction","","","","","","","","","shortly after, severe neurological syndromes were described in association with various vaccinations, including encephalomyelitis after rabies vaccination, acute disseminated encephalomyelitis following measles vaccination, neuritis and deafness after mumps vaccination, paralytic disease after polio vaccination, and hypotonic–hyporesponsive episodes following pertussis vaccination among others (table 1). more recently, a possible association of austism with measles vaccination, multiple sclerosis with recombinant hepatitis b vaccination and guillain–barre syndrome after influenza vaccination has been suggested4–6. 
in general, adverse events associated with one vaccine should not be generalized to all other vaccines, or even to different versions of the same vaccine.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"disputes","viral vaccines","","10.1179/016164110x12645013515214","introduction","","","","","","","","","the measles–mumps–rubella vaccine has also been thought to cause ileocolonic lymphoid nodular hyperplasia permitting the absorption of non-permeable peptides, possibly related to developmental disorders. however, the existence of this association is doubtful4. in addition, a recent publication describes a 5-year-old boy who developed a febrile rigid-akinetic syndrome 15 days following measles vaccination15.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","2. knowledge, social movements and policy","","10.1080/19460171003714989","","","","","","","","","","parents in canada, by contrast, do not have a similar institutional opening in the system for legal redress.
an important, albeit controversial example, of how evidence can lead to wildly different conclusions occurred after a study that identified a potential link between the mmr vaccine and autism (wakefield et al. 1998). the study became a lightning rod for the already existing vaccination movement and led to widespread panic among parents who feared for the health and safety of their children.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"credits","discussion","","10.1080/09687591003701231","","","","","","","","","","that autism could be an act of god was also a finding resonated in the studies of gray (1995) and huws, jones, and ingledew (2001). although the overall consensus at the time of the present study indicated that the risk of the mmr vaccine causing autism was insignificant (kaye, melero-montes, and jick 2001; taylor et al. 2002), that many of the participants still perceived autism to be caused by this vaccine demonstrates the prevailing influence of earlier claims that the two were linked (wakefield et al. 1998). 
the analysis shows that participants perceived people with autism to behave in ways that contravened societal and developmental norms, that they had increased dependency on others, that the autism was confining, that it was a condition like mental retardation or learning disability and that it was caused by internal and external factors.","","","credits","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1038/ajg.2010.149","","","","","","","","","","on 28 january 2010, the uk general medical council’s fitness to practice panel raised concerns about a paper published in the lancet by dr wakefield et al. (1). the main issues were that the patient sample collected was likely to be biased and that the statement in the paper, that the study had local ethics committee approval, was false.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1038/ajg.2010.149","","","","","","","","","","there was also the possibility of a serious conflict of interest in the interpretation of the data. the lancet has now retracted this paper (1). this paper in the american journal of gastroenterology (ajg) (2) also includes the 12 patients in the original lancet article and therefore we retract this ajg paper from the public record.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"disputes","neurodevelopmental concerns: disconnecting autism","","10.1586/erv.10.36","","","","","","","","","","andrew wakefield, a gastroenterologist in the uk, was the first to postulate the so-called ‘leaky-gut’ theory. wakefield’s theory was supported by studies that identified measles virus nucleic acid sequences in the blood cells and intestinal tissue of some children who had experienced severe behavioral regression [12,13]. a similar investigation with a larger sample failed to reveal persistence of measles virus nucleic acids in the peripheral blood of children with autism-spectrum disorder [14].","","","disputes","coci_wakefield_ret_intext_ref.csv"
"describes","","","10.1097/01720610-201006000-00012","related work","","","","","","","","","many parents are concerned about the safety of vaccines that are given to their infants and children. in 1998, dr andrew wakefield, a british gastroenterologist, published an article in the lancet that suggested a link between the mmr vaccine and the development of autism.1 based on the evaluation of 12 children, dr wakefield and colleagues reported that patients could develop intestinal symptoms and subsequent autistic regression following immunization with the mmr vaccine.","","","describes","coci_wakefield_ret_intext_ref.csv"
"describes","the lancet retracts","","10.3928/02793695-20100506-02","","","","","","","","","","in 1998, dr. andrew wakefield, a gastroenterologist, and his colleagues reported in the lancet a possible association between autistic symptoms; irritable bowel disease; and the vaccine for measles, mumps, and rubella (mmr) (wakefield et al., 1998). wakefield and his colleagues described unusual bowel symptoms among 12 children referred to a pediatric gastroenterology clinic.","","","describes","coci_wakefield_ret_intext_ref.csv"
"disputes","the lancet retracts","","10.3928/02793695-20100506-02","","","","","","","","","","contrary evidence to wakefield et al.’s (1998) findings emerged. fombonne and chakrabarti (2001) studied three groups of children in the united kingdom:
a group of 98 children with autism, diagnosed prior to receiving the mmr vaccine.","","","disputes","coci_wakefield_ret_intext_ref.csv"
"discusses","the lancet retracts","","10.3928/02793695-20100506-02","","","","","","","","","","in an 81-word editorial, lancet editors retracted wakefield et al.’s (1998) paper in early 2010 (“retraction,” 2010). interestingly, the reason cited for the paper being retracted was ethical.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","the lancet retracts","","10.3928/02793695-20100506-02","","","","","","","","","","the editors stated that children were not “consecutively referred” as stated in the paper; in fact, the fitness to practise council had found that institutional review ethics rules had been violated. specifically, wakefield et al. (1998) had not obtained approval for invasive tests (lumbar puncture and colonoscopy) conducted on the children. indeed, the proposal had been submitted under a different study; some called the paper an “iconic symbol of bad science” (greenhalgh, 2010, p. 644).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"describes","does the mmr vaccine cause autism?","","10.1007/bf03391757","introduction","","","","","","","","","the purpose of this article is to provide important information to behavior analysts about the 
relationship (or lack thereof) between autism and the measles-mumps-rubella (mmr) vaccine. andrew wakefield first suggested that the mmr vaccine could produce severe bowel problems and regression in development that manifests as autism (wakefield et al., 1998). with his colleagues at the royal free hospital, he studied 12 children with inflammation in their intestines.","","","describes","coci_wakefield_ret_intext_ref.csv"
"qualifies","does the mmr vaccine cause autism?","","10.1007/bf03391757","introduction","","","","","","","","","in a study published in the british medical journal the lancet, andrew wakefield and colleagues stated that regressive autism and severe bowel problems might be associated with the mmr vaccine (wakefield et al., 1998). this study suggested that a component of the measles virus from the vaccine was found in the guts of their participants and was the cause of gastrointestinal problems that led to regression.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"discusses","does the mmr vaccine cause autism?","","10.1007/bf03391757","introduction","","","","","","","","","he has held press conferences since then to present unpublished research to bolster his claims and to assert that the united kingdom released the mmr vaccine without proper testing. 
in july of 2007, britain’s general medical council (gmc) launched an investigation into the fitness of andrew wakefield and two of his collaborators to practice medicine, stemming from their autistic regression study (wakefield et al., 1998). the gmc ultimately found wakefield to have engaged in misconduct related to this research (deer, 2010).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","the mmr story","","10.1002/9781444325461.biblio","","","","","","","","","","the best-known hypothesis of an external causative agent—though since rejected by many large-scale studies—is the 1998 proposal by the british gastroenterologist, dr. andrew wakefield, in the medical journal, the lancet, that the triple mmr (measles, mumps, rubella) vaccine could be bringing about autism in children.81 the story began in february that year when the royal free hospital in london called a press conference at which wakefield took the microphone and announced that he and his colleagues had discovered that eight of 12 children in their study had developed a serious intestinal inflammation— which he called “autistic enterocolitis”—an average of six days after receiving the mmr jab.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"cites for information","","","10.1148/radiol.10102518","","","","","","","","","","the problems associated with conflicts of interest in biomedical research and scientific publications have unfortunately received considerable ongoing and widespread media attention over the past several years. most recently, the lancet was forced to withdraw a published report that linked measles, mumps, and rubella vaccinations to autism when it was discovered that the author and his research had been sponsored by a law firm engaged in litigation on the matter (1–3). earlier in 2009, an article published in the journal of bone and joint surgery on the use of a recombinant dna product for stimulating bone grafts was withdrawn when a number of co-investigators listed on the report recognized that their signatures had been forged and that data included in the study had been fabricated (4,5).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"qualifies","vaccines and autism","","10.3928/00904481-20100726-05","","","","","","","","","","as highlighted by recent studies of parents3 and pediatricians,11 the putative association between vaccines and autism has been the most prominent vaccine safety concern over the last decade. most prominent has been the now disproven association between mmr and autism claimed by andrew wakefield and colleagues in a 1998 article in the lancet.12 the mercury-containing preservative thimerosal also has been subject to claims implicating it as a cause of autism, although thimerosal has not been added to routine childhood vaccines as a preservative for nearly a decade.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"disputes","congenital rubella syndrome ","","10.1542/neo.11-8-e436","","","","","","","","","","panels convened by the institute of medicine, medical research council, and world health organization have all agreed that studies do not support the hypothesis that mmr vaccination is a cause of autism. (49)(50)(51) it is worth noting that the original publication describing the association between mmr and autism recently was retracted by the journal lancet. (52)","","","disputes","coci_wakefield_ret_intext_ref.csv"
"credits","influence of media coverage on health behaviour","","10.1093/heapro/daq048","","","","","","","","","","the mass media is claimed to be at least as important as health care providers as information sources regarding health-related topics (clarke and everest, 2006), creating and maintaining assumptions, beliefs and perceptions (nelkin, 1996). this is illustrated by media coverage of the controversy over the combined measles, mumps and rubella (mmr) vaccine that began in the late 1990s following media reports of a study by wakefield et al. (wakefield et al., 1998) that appeared to imply a link between the mmr vaccine and adverse health consequences such as autism. some consumer media were cited as ‘campaigning on the issue’ to persuade parents that there was a potential risk (speers and lewis, 2004: 172), the daily mail running some 700 articles around the topic in 1998 alone (bbc, 2006; social market foundation, 2006).","","","credits","coci_wakefield_ret_intext_ref.csv"
"cites for information","3. risk–benefit and uncertainty","","10.1098/rsif.2010.0442.focus","","","","","","","","","","at the other extreme, vaccines that prevent serious disease are given to large numbers of healthy individuals and even relatively rare complications can be considered unacceptable. in the uk, concerns over possible extremely rare complications of the mmr vaccine (wakefield et al. 1998) led large groups of the public to lose faith and refuse to have their children vaccinated, even though by doing so they were accepting an even higher risk of their children contracting these diseases, a risk that increases exponentially as the numbers of non-immunized children increases (owing to the loss of so-called herd immunity). risk is difficult to quantify and judge, and regulators err on the side of caution at least in part because the first duty of the state is to protect its people.","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","scientific misconduct and its effects ","","10.1177/0022034510384627","","","","","","","","","","the second case shows how even allegations of scientific misconduct (here, combined with poor research methods; greenhalgh, 2004) may directly affect clinical practice. in 1998, the lancet guidelines stated, ‘the conflict of interest test is a simple one. is there anything . . . that would embarrass you if it were to emerge after publication and you had not declared it?’ (horton, 2004a). 
in 1998, dr. andrew wakefield published a paper in the lancet: ‘ileal-lymphoid-nodular hyperplasia, non-specific colitis, and pervasive developmental disorder in children’ (wakefield et al., 1998). few would predict the repercussions that followed, but it triggered a huge controversy over the mmr (measles, mumps, rubella) vaccine in the uk and europe.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1002/meet.14504701229","introduction","","","","","","","","","questions about a link between the administration of the pediatric measles mumps rubella (mmr) vaccine and subsequent diagnoses of autism have diffused widely through both the professional medical literature as well as through mass-market media publications in recent years. 
a 1998 study in lancet (wakefield et al.) proposed the initial mmr-autism link, and as of this writing, has received over 600 citations per isi’s web of science database. the publication of this study, and the controversy and criticism that followed it, coincides with the rapid growth in the scope of internet information resources and the number of internet users (madden, 2006), and represents a unique opportunity to explore the intersection of expert and non-expert conversations about an issue of health, science, and public policy, mediated, in part, by a digital information environment.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.1002/meet.14504701229","introduction","","","","","","","","","the well-publicized controversy over a possible relationship between the administration of a pediatric vaccine for measles mumps rubella (mmr) and increasing rates of autism has reached nearly every corner of print and digital media. from the publication of the original study in 1998 in lancet (wakefield et al.) to analysis and commentary in rolling stone (kennedy jr, 2005), scientific research has been cited, summarized, argued over, and incorporated into policy and sub-policy public health conversations for over a decade. 
the public conversation over the possible relationship between the mmr vaccine and autism is not only a personal health question that can be situated in the domain of personal information seeking, but also a public policy and consensus-building conversation demonstrating the variability of understanding scientific knowledge in the legal/political domains.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","science and pseudoscience ","","10.3109/17549507.2011.528801","","","","","","","","","","or have the results been presented directly to the public at conferences, during continuing education events, in self-published books, or on the unmonitored internet? only data presented in peer reviewed venues can be considered valid, and even then clinicians must remain sceptical (e.g., the publication of a flawed study in the prestigious journal lancet showing vaccines cause autism; wakefield, murch, anthony, linnell, casson, malik, et al., 1998). 
grandiose outcomes are proclaimed. recall that one therapeutic technique cannot possibly work for all different types of disorders.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"critiques","is peer review effective?","","10.1186/bcr2742","","","","","","","","","","sadly we have many examples of studies published in medical journals that are not only scientifically poor but also have done great damage. the most famous example is the lancet paper that suggested that the mmr (measles, mumps, rubella vaccine) caused autism: the result was a drop off in the number of children vaccinated, epidemics of measles, and more than a decade of fruitless argument [7]. another example is the new england journal of medicine article that seemed to show that a new drug for arthritis, rofecoxib, was safer than the traditional non-steroidal anti-inflammatory drugs because it was less likely to cause gastrointestinal bleeding [8].","","","critiques","coci_wakefield_ret_intext_ref.csv"
"cites for information","folate, b vitamins, and neurodevelopmental disorders ","","10.1201/b10449-14","","","","","","","","","","altered metabolic profiles relating to the folate and one-carbon metabolism cycles, including atypical homocysteine levels, suboptimal vitamin b12 status, reduced methionine levels, and impaired methylation capacity, have been observed for children with autism and their parents compared to children who are typically developed and their parents (james et al. 2004, 2006, 2008; pasca et al. 2006; wakefield et al. 1998). one small study has examined serum and red blood cell folate levels in children with autism compared to typically developed children (m. adams et al. 2007).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"discusses","consequences of these pressures","","10.2478/v10011-011-0004-8","","","","","","","","","","2. the next incident, the linkage of autism with rubella vaccination, was exclusively of british origin although the regrettable repercussions have been world-wide. a gastroenterologist called andrew wakefield took 12 blood samples from children attending his son’s birthday party, paying each of them 5 pounds, and proceeded to write a paper that was published by the lancet in 1998 claiming that many cases of autism were caused by mumps/ measles/rubella vaccines (42). he spent much of his time subsequently appearing as an expert witness in a series of cases where parents with autistic children sued the manufacturers of the vaccines.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","consequences of these pressures","","10.2478/v10011-011-0004-8","","","","","","","","","","throughout this period, many reputable investigators failed to confirm the linkage in large populations, and other evidence against it accumulated. the true nature of wakefield’s data became known (43). it took the lancet 12 years to publish a retraction (42), followed by retraction of a second related paper by another journal (44).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"discusses","","","10.12968/pnur.2011.22.2.78","introduction","","","","","","","","","measles, mumps and rubella (mmr) vaccine has arguably caused more controversy in the last 20 years than any other vaccine. the scare stories in the media, coupled with understandable parental concerns and fears for their children’s health, has led to a decline in vaccination rates since andrew wakefield’s infamous study on the vaccine was published (wakefield et al, 1998). however, wakefield was struck off the medical register in 2010 for malpractice in the mmr study (boseley, 2010), and the original article was formally withdrawn by the lancet (anon, 2010).","","","discusses","coci_wakefield_ret_intext_ref.csv"
"qualifies","","","10.1051/mbcb/2011004","","","","","","","","","","let's take two examples to illustrate this situation. in 1998, wakefield et al. published in the lancet an article suggesting that measles, mumps, and rubella vaccine (mmr) may be related to lymphoid hyperplasia, colitis, and of autism [14].
this article had an important impact and was widely distributed by those who systematically suspect vaccines to be the cause of many ailments.","","","qualifies","coci_wakefield_ret_intext_ref.csv"
"discusses","relevance of aefis to public health","","10.1590/s0034-89102011000100020","","","","","","","","","","in the 1970’s, the wide publicity given to aefis associated with the pertussis component of the whole-cell dpt vaccine triggered a decrease in coverage of this vaccine and the reappearance of diseases prevented by this vaccine in countries like japan and sweden. 
a similar situation occurred following a study by english researchers103 reporting an association between the measles vaccine and autism, which has failed to be confirmed by subsequent studies. this report led to a decrease in measles vaccine coverage and the reappearance of measles in england.","","","discusses","coci_wakefield_ret_intext_ref.csv"
"cites for information","neuropathologies in autism","","10.3109/1547691x.2010.538749","","","","","","","","","","in addition, immunohistochemical studies showed a much higher lysozyme content in the paneth cells of autistic subjects (horvath and perman, 2002). previously, other investigators demonstrated a pattern of colitis and ileal-lymphoid-nodular hyperplasia in children with autism (wakefield et al., 1998).
porphyrins, derivatives of the heme synthesis pathway and measures of xenobiotic exposures, have been documented to be found at increased levels in the urine of autistic patients (geier and geier, 2006a; nataf et al., 2006).","","","cites for information","coci_wakefield_ret_intext_ref.csv"
"credits","","","10.1007/s00103-010-1234-5","introduction","","","","","","","","","concerns about their safety and fear of vaccination complications play an important role in parental reservations [2, 3, 4]. an impressive example of this is the serious decline in measles vaccination rates following the alleged association between the measles vaccine and the frequent occurrence of childhood autism by the physician wakefield [5]. even if it could be shown afterwards that such a connection does not exist [6, 7, 8] and the corresponding contribution was officially withdrawn by the journal "the lancet" [9], the example nevertheless illustrates how important the collection and evaluation are reliable data on the frequency of vaccine side effects.","","","credits","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","proximate event approach in assigning cause","","10.1002/9780470918449.biblio","","","","","","","","","","here is an example of proximate events leading to causation. a study published in 1998 by wakefi eld et al. showed a correlation between vaccination and autism and used this correlation to conclude causation (a. wakefi eld et al., “ ileal - lymphoid - nodular hyperplasia, non - specifi c colitis, and pervasive developmental disorder in children , ” the lancet 35 (1998): 637 – 641). the investigation of the 12 children with the symptoms of autism in this study led to the conclusion that the measles/mumps/rubella vaccine caused autism as well as the various bowel diseases often associated with autism.","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"cites as evidence","on the role of the academic journal","","10.1287/isre.1110.0355","","","","","","","","","","by becoming part of the archival literature, publications find their place within an evolving body of inquiry: not necessarily always complete and correct, but the best possible at that date. note, in this regard, the wording of the lancet’s statement (2010) in response to their finding of misconduct in the wakefield et al. (1998) study linking vaccines to autism—“therefore we fully retract this paper from the published record.”","","","cites as evidence","coci_wakefield_ret_intext_ref.csv"
"disputes","media misinformation","","10.1097/01.npr.0000393970.21436.8b","","","","","","","","","","by 2003, thiomerosal was removed from all us vaccines, except influenza. after examining the results of more than 200 independent studies, in 2004, the institute of medicine formally rejected the autism vaccine link.7 it was also noted that symptoms usually appear around the same time that children receive the mmr vaccine and that any link is coincidental.7","","","disputes","coci_wakefield_ret_intext_ref.csv"
